sample_id,sample_label,sample_start,sample_end,model_id,model_label,scheduled_entries,elevated_entries,elevated_entry_share,spread_width_points,contract_multiplier,standard_credit_points,additional_distance_fraction,additional_distance_percent,average_additional_distance_points,standard_elevated_failures,defensive_elevated_failures,failures_avoided,failure_reduction,standard_elevated_intrinsic_points,defensive_elevated_intrinsic_points,intrinsic_points_avoided,intrinsic_dollars_avoided,standard_elevated_break_even_credit,defensive_elevated_break_even_credit,maximum_tolerable_credit_haircut_points,theoretical_defensive_credit_to_match_standard,feasible_defensive_credit_to_match_standard,minimum_retained_credit_ratio_to_match_standard,standard_total_pnl_points,standard_total_pnl_dollars,same_credit_defensive_total_pnl_points,same_credit_defensive_total_pnl_dollars,same_credit_pnl_improvement_points,same_credit_pnl_improvement_dollars,match_credit_total_pnl_points,match_credit_total_pnl_dollars,match_credit_pnl_difference_points,standard_maximum_drawdown_points,same_credit_maximum_drawdown_points,same_credit_drawdown_reduction_points,match_credit_maximum_drawdown_points,match_credit_drawdown_reduction_points,standard_worst_4_trade_sum_points,same_credit_worst_4_trade_sum_points,match_credit_worst_4_trade_sum_points
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,8.25,0.005,0.5,47.891844999999996,4,3,1,0.25,465.0463000000002,424.0350000000001,41.01130000000012,82.02260000000024,4.650463000000002,4.240350000000001,0.41011300000000117,7.839886999999999,7.839886999999999,0.9502893333333332,5209.945199999995,10419.89039999999,5250.956499999995,10501.91299999999,41.01130000000012,82.02260000000024,5209.945199999995,10419.89039999999,0.0,326.25,326.25,0.0,328.30056499999955,-2.050564999999551,-267.0,-267.0,-268.230339
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,8.25,0.01,1.0,95.78368999999999,4,3,1,0.25,465.0463000000002,338.37254999999936,126.67375000000084,253.34750000000167,4.650463000000002,3.3837254999999935,1.2667375000000083,6.9832624999999915,6.9832624999999915,0.8464560606060596,5209.945199999995,10419.89039999999,5336.6189499999955,10673.237899999991,126.67375000000084,253.34750000000167,5209.945199999995,10419.89039999999,0.0,326.25,326.25,0.0,332.58368750000045,-6.333687500000451,-267.0,-267.0,-270.80021250000004
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,8.25,0.015,1.5,143.675535,4,2,2,0.5,465.0463000000002,249.74,215.3063000000002,430.6126000000004,4.650463000000002,2.4974000000000003,2.1530630000000017,6.096936999999999,6.096936999999999,0.7390226666666665,5209.945199999995,10419.89039999999,5425.251499999995,10850.50299999999,215.3063000000002,430.6126000000004,5209.945199999995,10419.89039999999,0.0,326.25,326.25,0.0,337.015315000001,-10.76531500000101,-267.0,-267.0,-273.459189
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,8.25,0.02,2.0,191.56737999999999,4,2,2,0.5,465.0463000000002,237.59249999999997,227.45380000000023,454.90760000000046,4.650463000000002,2.3759249999999996,2.2745380000000024,5.975461999999998,5.975461999999998,0.724298424242424,5209.945199999995,10419.89039999999,5437.398999999995,10874.79799999999,227.45380000000023,454.90760000000046,5209.945199999995,10419.89039999999,0.0,326.25,326.25,0.0,337.6226900000006,-11.372690000000603,-267.0,-267.0,-273.823614
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,8.25,0.03,3.0,287.35107,4,2,2,0.5,465.0463000000002,213.2974999999999,251.7488000000003,503.4976000000006,4.650463000000002,2.132974999999999,2.517488000000003,5.732511999999997,5.732511999999997,0.694849939393939,5209.945199999995,10419.89039999999,5461.693999999995,10923.38799999999,251.7488000000003,503.4976000000006,5209.945199999995,10419.89039999999,0.0,326.25,326.25,0.0,338.8374399999998,-12.587439999999788,-267.0,-267.0,-274.55246400000004
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,8.25,0.005,0.5,48.61006594202898,5,4,1,0.2,615.0463000000002,574.0350000000001,41.01130000000012,82.02260000000024,4.4568572463768135,4.159673913043479,0.2971833333333342,7.952816666666666,7.952816666666666,0.9639777777777777,5209.945199999995,10419.89039999999,5250.956499999995,10501.91299999999,41.01130000000012,82.02260000000024,5209.945199999995,10419.89039999999,0.0,326.25,326.25,0.0,328.9246499999981,-2.6746499999981097,-267.0,-267.0,-267.89155
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,8.25,0.01,1.0,97.22013188405796,5,4,1,0.2,615.0463000000002,488.37254999999936,126.67375000000084,253.34750000000167,4.4568572463768135,3.538931521739126,0.9179257246376872,7.332074275362313,7.332074275362313,0.8887362758014925,5209.945199999995,10419.89039999999,5336.6189499999955,10673.237899999991,126.67375000000084,253.34750000000167,5209.945199999995,10419.89039999999,0.0,326.25,326.25,0.0,334.51133152174043,-8.26133152174043,-267.0,-267.0,-269.7537771739131
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,8.25,0.015,1.5,145.830197826087,5,3,2,0.4,615.0463000000002,399.74,215.3063000000002,430.6126000000004,4.4568572463768135,2.896666666666667,1.5601905797101463,6.689809420289854,6.689809420289854,0.8108859903381641,5209.945199999995,10419.89039999999,5425.251499999995,10850.50299999999,215.3063000000002,430.6126000000004,5209.945199999995,10419.89039999999,0.0,326.25,326.25,0.0,340.29171521739227,-14.041715217392266,-267.0,-267.0,-271.6805717391304
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,8.25,0.02,2.0,194.44026376811593,5,3,2,0.4,615.0463000000002,386.351249999999,228.69505000000117,457.39010000000235,4.4568572463768135,2.7996467391304276,1.6572105072463854,6.592789492753615,6.592789492753615,0.7991259991216503,5209.945199999995,10419.89039999999,5438.640249999996,10877.280499999992,228.69505000000117,457.39010000000235,5209.945199999995,10419.89039999999,0.0,326.25,325.00874999999905,1.2412500000009459,339.9236445652168,-13.673644565216819,-267.0,-267.0,-271.97163152173914
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,8.25,0.03,3.0,291.660395652174,5,3,2,0.4,615.0463000000002,213.44414999999867,401.60215000000153,803.2043000000031,4.4568572463768135,1.5466967391304252,2.910160507246388,5.339839492753612,5.339839492753612,0.6472532718489227,5209.945199999995,10419.89039999999,5611.547349999996,11223.094699999992,401.60215000000153,803.2043000000031,5209.945199999995,10419.89039999999,0.0,326.25,283.5,42.75,286.4101605072465,39.839839492753526,-267.0,-267.0,-275.7304815217392
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,10.0,0.005,0.5,47.891844999999996,4,3,1,0.25,465.0463000000002,424.0350000000001,41.01130000000012,82.02260000000024,4.650463000000002,4.240350000000001,0.41011300000000117,9.589887,9.589887,0.9589886999999999,6618.695199999995,13237.39039999999,6659.706499999995,13319.41299999999,41.01130000000012,82.02260000000024,6618.695199999995,13237.39039999999,0.0,300.0,300.0,0.0,302.05056499999955,-2.050564999999551,-260.0,-260.0,-261.230339
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,10.0,0.01,1.0,95.78368999999999,4,3,1,0.25,465.0463000000002,338.37254999999936,126.67375000000084,253.34750000000167,4.650463000000002,3.3837254999999935,1.2667375000000083,8.733262499999991,8.733262499999991,0.8733262499999992,6618.695199999995,13237.39039999999,6745.3689499999955,13490.737899999991,126.67375000000084,253.34750000000167,6618.695199999995,13237.39039999999,0.0,300.0,300.0,0.0,306.33368750000045,-6.333687500000451,-260.0,-260.0,-263.80021250000004
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,10.0,0.015,1.5,143.675535,4,2,2,0.5,465.0463000000002,249.74,215.3063000000002,430.6126000000004,4.650463000000002,2.4974000000000003,2.1530630000000017,7.846936999999999,7.846936999999999,0.7846936999999998,6618.695199999995,13237.39039999999,6834.001499999995,13668.00299999999,215.3063000000002,430.6126000000004,6618.695199999995,13237.39039999999,0.0,300.0,300.0,0.0,310.76531499999874,-10.765314999998736,-260.0,-260.0,-266.459189
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,10.0,0.02,2.0,191.56737999999999,4,2,2,0.5,465.0463000000002,237.59249999999997,227.45380000000023,454.90760000000046,4.650463000000002,2.3759249999999996,2.2745380000000024,7.725461999999998,7.725461999999998,0.7725461999999997,6618.695199999995,13237.39039999999,6846.148999999995,13692.29799999999,227.45380000000023,454.90760000000046,6618.695199999995,13237.39039999999,0.0,300.0,300.0,0.0,311.37268999999833,-11.372689999998329,-260.0,-260.0,-266.823614
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,10.0,0.03,3.0,287.35107,4,2,2,0.5,465.0463000000002,213.2974999999999,251.7488000000003,503.4976000000006,4.650463000000002,2.132974999999999,2.517488000000003,7.482511999999997,7.482511999999997,0.7482511999999997,6618.695199999995,13237.39039999999,6870.443999999995,13740.88799999999,251.7488000000003,503.4976000000006,6618.695199999995,13237.39039999999,0.0,300.0,300.0,0.0,312.58744000000206,-12.587440000002061,-260.0,-260.0,-267.55246400000004
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,10.0,0.005,0.5,48.61006594202898,5,4,1,0.2,615.0463000000002,574.0350000000001,41.01130000000012,82.02260000000024,4.4568572463768135,4.159673913043479,0.2971833333333342,9.702816666666665,9.702816666666665,0.9702816666666665,6618.695199999995,13237.39039999999,6659.706499999995,13319.41299999999,41.01130000000012,82.02260000000024,6618.695199999995,13237.39039999999,0.0,300.0,300.0,0.0,302.6746499999981,-2.6746499999981097,-260.0,-260.0,-260.89155
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,10.0,0.01,1.0,97.22013188405796,5,4,1,0.2,615.0463000000002,488.37254999999936,126.67375000000084,253.34750000000167,4.4568572463768135,3.538931521739126,0.9179257246376872,9.082074275362313,9.082074275362313,0.9082074275362313,6618.695199999995,13237.39039999999,6745.3689499999955,13490.737899999991,126.67375000000084,253.34750000000167,6618.695199999995,13237.39039999999,0.0,300.0,300.0,0.0,308.26133152174043,-8.26133152174043,-260.0,-260.0,-262.7537771739131
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,10.0,0.015,1.5,145.830197826087,5,3,2,0.4,615.0463000000002,399.74,215.3063000000002,430.6126000000004,4.4568572463768135,2.896666666666667,1.5601905797101463,8.439809420289853,8.439809420289853,0.8439809420289853,6618.695199999995,13237.39039999999,6834.001499999995,13668.00299999999,215.3063000000002,430.6126000000004,6618.695199999995,13237.39039999999,0.0,300.0,300.0,0.0,314.04171521739227,-14.041715217392266,-260.0,-260.0,-264.6805717391304
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,10.0,0.02,2.0,194.44026376811593,5,3,2,0.4,615.0463000000002,386.351249999999,228.69505000000117,457.39010000000235,4.4568572463768135,2.7996467391304276,1.6572105072463854,8.342789492753614,8.342789492753614,0.8342789492753614,6618.695199999995,13237.39039999999,6847.390249999996,13694.780499999992,228.69505000000117,457.39010000000235,6618.695199999994,13237.390399999987,-9.094947017729282e-13,300.0,298.75874999999905,1.2412500000009459,313.6736445652168,-13.673644565216819,-260.0,-260.0,-264.97163152173914
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,10.0,0.03,3.0,291.660395652174,5,3,2,0.4,615.0463000000002,213.44414999999867,401.60215000000153,803.2043000000031,4.4568572463768135,1.5466967391304252,2.910160507246388,7.089839492753612,7.089839492753612,0.7089839492753611,6618.695199999995,13237.39039999999,7020.297349999996,14040.594699999992,401.60215000000153,803.2043000000031,6618.695199999995,13237.39039999999,0.0,300.0,280.0,20.0,282.9101605072465,17.089839492753526,-260.0,-260.0,-268.7304815217392
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,12.0,0.005,0.5,47.891844999999996,4,3,1,0.25,465.0463000000002,424.0350000000001,41.01130000000012,82.02260000000024,4.650463000000002,4.240350000000001,0.41011300000000117,11.589887,11.589887,0.9658239166666666,8228.695199999995,16457.39039999999,8269.706499999995,16539.41299999999,41.01130000000012,82.02260000000024,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,276.4101129999999,-0.41011299999991024,-252.0,-252.0,-253.230339
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,12.0,0.01,1.0,95.78368999999999,4,3,1,0.25,465.0463000000002,338.37254999999936,126.67375000000084,253.34750000000167,4.650463000000002,3.3837254999999935,1.2667375000000083,10.733262499999991,10.733262499999991,0.8944385416666659,8228.695199999995,16457.39039999999,8355.368949999996,16710.737899999993,126.67375000000175,253.3475000000035,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,277.2667375000001,-1.2667375000000902,-252.0,-252.0,-255.80021250000001
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,12.0,0.015,1.5,143.675535,4,2,2,0.5,465.0463000000002,249.74,215.3063000000002,430.6126000000004,4.650463000000002,2.4974000000000003,2.1530630000000017,9.846936999999999,9.846936999999999,0.8205780833333333,8228.695199999995,16457.39039999999,8444.001499999995,16888.00299999999,215.3063000000002,430.6126000000004,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,280.76531499999874,-4.765314999998736,-252.0,-252.0,-258.459189
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,12.0,0.02,2.0,191.56737999999999,4,2,2,0.5,465.0463000000002,237.59249999999997,227.45380000000023,454.90760000000046,4.650463000000002,2.3759249999999996,2.2745380000000024,9.725461999999997,9.725461999999997,0.8104551666666664,8228.695199999995,16457.39039999999,8456.148999999994,16912.297999999988,227.45379999999932,454.90759999999864,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,281.37268999999833,-5.372689999998329,-252.0,-252.0,-258.823614
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,12.0,0.03,3.0,287.35107,4,2,2,0.5,465.0463000000002,213.2974999999999,251.7488000000003,503.4976000000006,4.650463000000002,2.132974999999999,2.517488000000003,9.482511999999996,9.482511999999996,0.790209333333333,8228.695199999995,16457.39039999999,8480.443999999996,16960.88799999999,251.7488000000012,503.4976000000024,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,282.58744000000206,-6.587440000002061,-252.0,-252.0,-259.55246400000004
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,12.0,0.005,0.5,48.61006594202898,5,4,1,0.2,615.0463000000002,574.0350000000001,41.01130000000012,82.02260000000024,4.4568572463768135,4.159673913043479,0.2971833333333342,11.702816666666665,11.702816666666665,0.9752347222222221,8228.695199999995,16457.39039999999,8269.706499999995,16539.41299999999,41.01130000000012,82.02260000000024,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,276.2971833333331,-0.2971833333331233,-252.0,-252.0,-252.89155
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,12.0,0.01,1.0,97.22013188405796,5,4,1,0.2,615.0463000000002,488.37254999999936,126.67375000000084,253.34750000000167,4.4568572463768135,3.538931521739126,0.9179257246376872,11.082074275362313,11.082074275362313,0.923506189613526,8228.695199999995,16457.39039999999,8355.368949999996,16710.737899999993,126.67375000000175,253.3475000000035,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,278.26133152174043,-2.2613315217404306,-252.0,-252.0,-254.75377717391305
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,12.0,0.015,1.5,145.830197826087,5,3,2,0.4,615.0463000000002,399.74,215.3063000000002,430.6126000000004,4.4568572463768135,2.896666666666667,1.5601905797101463,10.439809420289853,10.439809420289853,0.8699841183574878,8228.695199999995,16457.39039999999,8444.001499999995,16888.00299999999,215.3063000000002,430.6126000000004,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,284.04171521739227,-8.041715217392266,-252.0,-252.0,-256.6805717391304
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,12.0,0.02,2.0,194.44026376811593,5,3,2,0.4,615.0463000000002,386.351249999999,228.69505000000117,457.39010000000235,4.4568572463768135,2.7996467391304276,1.6572105072463854,10.342789492753614,10.342789492753614,0.8618991243961345,8228.695199999995,16457.39039999999,8457.390249999997,16914.780499999993,228.69505000000208,457.39010000000417,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,283.6736445652168,-7.673644565216819,-252.0,-252.0,-256.97163152173914
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,12.0,0.03,3.0,291.660395652174,5,3,2,0.4,615.0463000000002,213.44414999999867,401.60215000000153,803.2043000000031,4.4568572463768135,1.5466967391304252,2.910160507246388,9.089839492753612,9.089839492753612,0.7574866243961343,8228.695199999995,16457.39039999999,8630.297349999997,17260.594699999994,401.60215000000244,803.2043000000049,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,278.9101605072465,-2.9101605072464736,-252.0,-252.0,-260.73048152173914
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,14.0,0.005,0.5,47.891844999999996,4,3,1,0.25,465.0463000000002,424.0350000000001,41.01130000000012,82.02260000000024,4.650463000000002,4.240350000000001,0.41011300000000117,13.589887,13.589887,0.9707062142857142,9838.695199999995,19677.39039999999,9879.706499999995,19759.41299999999,41.01130000000012,82.02260000000024,9838.695199999995,19677.39039999999,0.0,272.0,272.0,0.0,272.4101129999999,-0.41011299999991024,-244.0,-244.0,-245.230339
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,14.0,0.01,1.0,95.78368999999999,4,3,1,0.25,465.0463000000002,338.37254999999936,126.67375000000084,253.34750000000167,4.650463000000002,3.3837254999999935,1.2667375000000083,12.733262499999991,12.733262499999991,0.9095187499999994,9838.695199999995,19677.39039999999,9965.368949999996,19930.737899999993,126.67375000000175,253.3475000000035,9838.695199999995,19677.39039999999,0.0,272.0,272.0,0.0,273.2667375000001,-1.2667375000000902,-244.0,-244.0,-247.80021250000001
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,14.0,0.015,1.5,143.675535,4,2,2,0.5,465.0463000000002,249.74,215.3063000000002,430.6126000000004,4.650463000000002,2.4974000000000003,2.1530630000000017,11.846936999999999,11.846936999999999,0.8462097857142856,9838.695199999995,19677.39039999999,10054.001499999995,20108.00299999999,215.3063000000002,430.6126000000004,9838.695199999995,19677.39039999999,0.0,272.0,272.0,0.0,274.15306299999975,-2.1530629999997473,-244.0,-244.0,-250.459189
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,14.0,0.02,2.0,191.56737999999999,4,2,2,0.5,465.0463000000002,237.59249999999997,227.45380000000023,454.90760000000046,4.650463000000002,2.3759249999999996,2.2745380000000024,11.725461999999997,11.725461999999997,0.8375329999999997,9838.695199999995,19677.39039999999,10066.148999999994,20132.297999999988,227.45379999999932,454.90759999999864,9838.695199999995,19677.39039999999,0.0,272.0,272.0,0.0,274.27453799999967,-2.2745379999996658,-244.0,-244.0,-250.82361400000002
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,14.0,0.03,3.0,287.35107,4,2,2,0.5,465.0463000000002,213.2974999999999,251.7488000000003,503.4976000000006,4.650463000000002,2.132974999999999,2.517488000000003,11.482511999999996,11.482511999999996,0.8201794285714283,9838.695199999995,19677.39039999999,10090.443999999996,20180.88799999999,251.7488000000012,503.4976000000024,9838.695199999995,19677.39039999999,0.0,272.0,272.0,0.0,274.5174880000004,-2.5174880000004123,-244.0,-244.0,-251.55246400000001
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,14.0,0.005,0.5,48.61006594202898,5,4,1,0.2,615.0463000000002,574.0350000000001,41.01130000000012,82.02260000000024,4.4568572463768135,4.159673913043479,0.2971833333333342,13.702816666666665,13.702816666666665,0.9787726190476189,9838.695199999995,19677.39039999999,9879.706499999995,19759.41299999999,41.01130000000012,82.02260000000024,9838.695199999995,19677.39039999999,0.0,272.0,272.0,0.0,272.2971833333331,-0.2971833333331233,-244.0,-244.0,-244.89155
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,14.0,0.01,1.0,97.22013188405796,5,4,1,0.2,615.0463000000002,488.37254999999936,126.67375000000084,253.34750000000167,4.4568572463768135,3.538931521739126,0.9179257246376872,13.082074275362313,13.082074275362313,0.9344338768115937,9838.695199999995,19677.39039999999,9965.368949999996,19930.737899999993,126.67375000000175,253.3475000000035,9838.695199999995,19677.39039999999,0.0,272.0,272.0,0.0,272.9179257246378,-0.9179257246378256,-244.0,-244.0,-246.75377717391305
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,14.0,0.015,1.5,145.830197826087,5,3,2,0.4,615.0463000000002,399.74,215.3063000000002,430.6126000000004,4.4568572463768135,2.896666666666667,1.5601905797101463,12.439809420289853,12.439809420289853,0.8885578157349895,9838.695199999995,19677.39039999999,10054.001499999995,20108.00299999999,215.3063000000002,430.6126000000004,9838.695199999995,19677.39039999999,0.0,272.0,272.0,0.0,273.56019057971025,-1.5601905797102518,-244.0,-244.0,-248.68057173913044
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,14.0,0.02,2.0,194.44026376811593,5,3,2,0.4,615.0463000000002,386.351249999999,228.69505000000117,457.39010000000235,4.4568572463768135,2.7996467391304276,1.6572105072463854,12.342789492753614,12.342789492753614,0.8816278209109724,9838.695199999995,19677.39039999999,10067.390249999997,20134.780499999993,228.69505000000208,457.39010000000417,9838.695199999995,19677.39039999999,0.0,272.0,272.0,0.0,273.6572105072464,-1.6572105072464183,-244.0,-244.0,-248.97163152173917
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,14.0,0.03,3.0,291.660395652174,5,3,2,0.4,615.0463000000002,213.44414999999867,401.60215000000153,803.2043000000031,4.4568572463768135,1.5466967391304252,2.910160507246388,11.089839492753612,11.089839492753612,0.7921313923395437,9838.695199999995,19677.39039999999,10240.297349999997,20480.594699999994,401.60215000000244,803.2043000000049,9838.695199999995,19677.39039999999,0.0,272.0,272.0,0.0,274.9101605072465,-2.9101605072464736,-244.0,-244.0,-252.73048152173916
full_history,Complete feature history,2005-05-13,2026-06-05,both_atr_expansions,Both ATR expansion flags,1100,135,0.12272727272727273,150.0,2.0,8.25,0.005,0.5,37.75970925925925,6,5,1,0.16666666666666666,691.4075500000004,641.5551000000003,49.85245000000009,99.70490000000018,5.12153740740741,4.752260000000002,0.36927740740740805,7.880722592592592,7.880722592592592,0.9552391021324355,6978.974199999994,13957.948399999988,7028.8266499999945,14057.653299999989,49.85245000000032,99.70490000000063,6978.974199999993,13957.948399999987,-9.094947017729282e-13,493.36125000000015,484.5201000000002,8.84114999999997,485.25865481481503,8.102595185185123,-493.36125000000015,-484.5201000000002,-485.25865481481503
