sample_id,sample_label,sample_start,sample_end,model_id,model_label,policy_id,policy_label,elevated_multiplier,observations,failures,touches,elevated_observations,elevated_observation_share,elevated_failures,elevated_failure_rate,normal_failures,normal_failure_rate,model_failure_capture,elevated_touches,model_touch_capture,exposure_units,exposure_retained,exposure_reduction,weighted_failure_exposure,failure_exposure_reduction,failure_reduction_efficiency,weighted_touch_exposure,touch_exposure_reduction,touch_reduction_efficiency,weighted_downside_return_exposure,downside_return_exposure_reduction,weighted_adverse_move_exposure,adverse_move_exposure_reduction,baseline_max_cluster_failures,max_cluster_weighted_failures,max_cluster_failure_exposure_reduction
full_history,Complete feature history,2005-05-13,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",full_size,Full size,1.0,1100,20,64,197,0.17909090909090908,9,0.04568527918781726,11,0.012181616832779624,0.45,24,0.375,1100.0,1.0,0.0,20.0,0.0,,64.0,0.0,,16.5346637726963,0.0,41.44164037885021,0.0,4.0,4.0,0.0
full_history,Complete feature history,2005-05-13,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",reduce_to_75_percent,Reduce elevated size to 75%,0.75,1100,20,64,197,0.17909090909090908,9,0.04568527918781726,11,0.012181616832779624,0.45,24,0.375,1050.75,0.9552272727272727,0.0447727272727273,17.75,0.11250000000000004,2.5126903553299487,58.0,0.09375,2.093908629441623,15.339154410676993,0.07230321574445642,38.582279080749906,0.06899730010589977,4.0,3.0,0.25
full_history,Complete feature history,2005-05-13,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",reduce_to_50_percent,Reduce elevated size to 50%,0.5,1100,20,64,197,0.17909090909090908,9,0.04568527918781726,11,0.012181616832779624,0.45,24,0.375,1001.5,0.9104545454545454,0.0895454545454546,15.5,0.22499999999999998,2.5126903553299478,52.0,0.1875,2.093908629441623,14.143645048657685,0.14460643148891283,35.722917782649596,0.13799460021179977,4.0,2.0,0.5
full_history,Complete feature history,2005-05-13,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",reduce_to_25_percent,Reduce elevated size to 25%,0.25,1100,20,64,197,0.17909090909090908,9,0.04568527918781726,11,0.012181616832779624,0.45,24,0.375,952.25,0.8656818181818182,0.13431818181818178,13.25,0.3375,2.51269035532995,46.0,0.28125,2.093908629441625,12.948135686638375,0.21690964723336936,32.86355648454929,0.20699190031769965,4.0,2.0,0.5
full_history,Complete feature history,2005-05-13,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",skip_elevated,Skip elevated entries,0.0,1100,20,64,197,0.17909090909090908,9,0.04568527918781726,11,0.012181616832779624,0.45,24,0.375,903.0,0.8209090909090909,0.17909090909090908,11.0,0.44999999999999996,2.512690355329949,40.0,0.375,2.0939086294416245,11.752626324619065,0.2892128629778259,30.00419518644898,0.27598920042359953,4.0,2.0,0.5
full_history,Complete feature history,2005-05-13,2026-06-05,both_atr_expansions,Both ATR expansion flags,full_size,Full size,1.0,1100,20,64,135,0.12272727272727273,6,0.044444444444444446,14,0.014507772020725389,0.3,15,0.234375,1100.0,1.0,0.0,20.0,0.0,,64.0,0.0,,16.5346637726963,0.0,41.44164037885021,0.0,4.0,4.0,0.0
full_history,Complete feature history,2005-05-13,2026-06-05,both_atr_expansions,Both ATR expansion flags,reduce_to_75_percent,Reduce elevated size to 75%,0.75,1100,20,64,135,0.12272727272727273,6,0.044444444444444446,14,0.014507772020725389,0.3,15,0.234375,1066.25,0.9693181818181819,0.030681818181818143,18.5,0.07499999999999996,2.444444444444446,60.25,0.05859375,1.9097222222222245,15.796491671635193,0.04464391361135822,39.67372482388335,0.042660366211495826,4.0,3.5,0.125
full_history,Complete feature history,2005-05-13,2026-06-05,both_atr_expansions,Both ATR expansion flags,reduce_to_50_percent,Reduce elevated size to 50%,0.5,1100,20,64,135,0.12272727272727273,6,0.044444444444444446,14,0.014507772020725389,0.3,15,0.234375,1032.5,0.9386363636363636,0.0613636363636364,17.0,0.15000000000000002,2.4444444444444433,56.5,0.1171875,1.9097222222222212,15.058319570574087,0.08928782722271633,37.9058092689165,0.08532073242299132,4.0,3.0,0.25
full_history,Complete feature history,2005-05-13,2026-06-05,both_atr_expansions,Both ATR expansion flags,reduce_to_25_percent,Reduce elevated size to 25%,0.25,1100,20,64,135,0.12272727272727273,6,0.044444444444444446,14,0.014507772020725389,0.3,15,0.234375,998.75,0.9079545454545455,0.09204545454545454,15.5,0.22499999999999998,2.444444444444444,52.75,0.17578125,1.9097222222222223,14.320147469512978,0.13393174083407466,36.13789371394964,0.12798109863448714,4.0,2.5,0.375
full_history,Complete feature history,2005-05-13,2026-06-05,both_atr_expansions,Both ATR expansion flags,skip_elevated,Skip elevated entries,0.0,1100,20,64,135,0.12272727272727273,6,0.044444444444444446,14,0.014507772020725389,0.3,15,0.234375,965.0,0.8772727272727273,0.12272727272727268,14.0,0.30000000000000004,2.4444444444444455,49.0,0.234375,1.909722222222223,13.581975368451872,0.17857565444543277,34.36997815898278,0.17064146484598275,4.0,2.0,0.5
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",full_size,Full size,1.0,805,12,42,138,0.17142857142857143,5,0.036231884057971016,7,0.010494752623688156,0.4166666666666667,15,0.35714285714285715,805.0,1.0,0.0,12.0,0.0,,42.0,0.0,,10.759500171502,0.0,28.740977795549973,0.0,2.0,2.0,0.0
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",reduce_to_75_percent,Reduce elevated size to 75%,0.75,805,12,42,138,0.17142857142857143,5,0.036231884057971016,7,0.010494752623688156,0.4166666666666667,15,0.35714285714285715,770.5,0.9571428571428572,0.042857142857142816,10.75,0.10416666666666663,2.430555555555557,38.25,0.0892857142857143,2.0833333333333357,10.065415059932569,0.06450904786523537,26.908575762939243,0.06375573042940952,2.0,2.0,0.0
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",reduce_to_50_percent,Reduce elevated size to 50%,0.5,805,12,42,138,0.17142857142857143,5,0.036231884057971016,7,0.010494752623688156,0.4166666666666667,15,0.35714285714285715,736.0,0.9142857142857143,0.08571428571428574,9.5,0.20833333333333337,2.4305555555555554,34.5,0.1785714285714286,2.083333333333333,9.37132994836314,0.12901809573047052,25.07617373032851,0.12751146085881926,2.0,2.0,0.0
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",reduce_to_25_percent,Reduce elevated size to 25%,0.25,805,12,42,138,0.17142857142857143,5,0.036231884057971016,7,0.010494752623688156,0.4166666666666667,15,0.35714285714285715,701.5,0.8714285714285714,0.12857142857142856,8.25,0.3125,2.430555555555556,30.75,0.2678571428571429,2.083333333333334,8.677244836793708,0.193527143595706,23.243771697717783,0.19126719128822867,2.0,2.0,0.0
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",skip_elevated,Skip elevated entries,0.0,805,12,42,138,0.17142857142857143,5,0.036231884057971016,7,0.010494752623688156,0.4166666666666667,15,0.35714285714285715,667.0,0.8285714285714286,0.17142857142857137,7.0,0.41666666666666663,2.4305555555555562,27.0,0.3571428571428571,2.083333333333334,7.9831597252242785,0.25803619146094137,21.41136966510705,0.2550229217176384,2.0,2.0,0.0
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,full_size,Full size,1.0,805,12,42,100,0.12422360248447205,4,0.04,8,0.011347517730496455,0.3333333333333333,10,0.23809523809523808,805.0,1.0,0.0,12.0,0.0,,42.0,0.0,,10.759500171502,0.0,28.740977795549973,0.0,2.0,2.0,0.0
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,reduce_to_75_percent,Reduce elevated size to 75%,0.75,805,12,42,100,0.12422360248447205,4,0.04,8,0.011347517730496455,0.3333333333333333,10,0.23809523809523808,780.0,0.968944099378882,0.03105590062111796,11.0,0.08333333333333337,2.683333333333339,39.5,0.059523809523809534,1.9166666666666703,10.263756208337142,0.04607499932737602,27.51389015393938,0.04269470754751381,2.0,2.0,0.0
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,reduce_to_50_percent,Reduce elevated size to 50%,0.5,805,12,42,100,0.12422360248447205,4,0.04,8,0.011347517730496455,0.3333333333333333,10,0.23809523809523808,755.0,0.937888198757764,0.06211180124223603,10.0,0.16666666666666663,2.6833333333333327,37.0,0.11904761904761907,1.9166666666666667,9.768012245172287,0.09214999865475193,26.286802512328777,0.08538941509502795,2.0,2.0,0.0
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,reduce_to_25_percent,Reduce elevated size to 25%,0.25,805,12,42,100,0.12422360248447205,4,0.04,8,0.011347517730496455,0.3333333333333333,10,0.23809523809523808,730.0,0.906832298136646,0.09316770186335399,9.0,0.25,2.6833333333333345,34.5,0.1785714285714286,1.9166666666666679,9.272268282007431,0.13822499798212784,25.05971487071818,0.12808412264254176,2.0,2.0,0.0
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,skip_elevated,Skip elevated entries,0.0,805,12,42,100,0.12422360248447205,4,0.04,8,0.011347517730496455,0.3333333333333333,10,0.23809523809523808,705.0,0.8757763975155279,0.12422360248447206,8.0,0.33333333333333337,2.6833333333333336,32.0,0.23809523809523814,1.9166666666666667,8.776524318842576,0.18429999730950375,23.832627229107583,0.17077883019005569,2.0,2.0,0.0
